Trial,Product1 Tally,Product1 Throughput,Product2 Tally,Product2 Throughput,Product 3 Tally,Product3 Throughput,Utilization I1,Percentage BlockedI1,Utilization I2,PercentageBlockedI2,SEED,,
0,366,0.085287958,27,0.006291735,17,0.003961463,96.90675781,2.275735391,23.92109655,71.33486593,9718,,
1,440,0.087878602,27,0.005392551,22,0.00439393,97.1316525,1.5896469,27.61778586,65.39642963,9800,,
2,424,0.084564583,35,0.006980567,18,0.003590006,99.36442623,0.345786064,18.32786218,74.7333688,9882,,
3,428,0.085432505,33,0.006587086,28,0.005589042,98.86592987,0.289243389,18.38394982,73.95876759,9964,,
4,418,0.083390256,28,0.00558595,19,0.003790466,100,0,19.68866843,75.01792412,10046,,
5,414,0.082641856,24,0.004790832,21,0.004191978,99.31425269,0.594809233,16.39031548,78.65341282,10128,,
6,411,0.082195169,26,0.005199694,14,0.002799835,99.71065316,0.124570972,15.34046713,78.7911271,10210,,
7,440,0.087886141,36,0.007190684,24,0.00479379,97.58633493,1.115685281,27.44317848,64.41196989,10292,,
8,408,0.081571381,39,0.007797264,20,0.003998597,98.38701053,0.576128299,20.43702061,72.04334498,10374,,
9,416,0.083156929,28,0.005597101,19,0.003798033,100,0,22.80549704,71.2942979,10456,,
10,431,0.086071239,29,0.005791336,23,0.004593129,99.42970858,0.327031858,20.8895186,73.00583119,10538,,
11,433,0.086318373,37,0.007375935,30,0.005980488,98.54431358,0.905608587,21.44246382,71.50327142,10620,,
12,430,0.085902348,42,0.008390462,29,0.005793414,100,0,26.06031243,66.73551703,10702,,
13,414,0.08274888,27,0.005396666,18,0.003597777,99.14441112,0.515526483,19.58522837,75.4857157,10784,,
14,415,0.082987455,23,0.004599305,19,0.003799426,100,0,16.78186839,79.21321662,10866,,
15,414,0.082729694,38,0.007593547,25,0.004995754,99.74392901,0,18.54736594,69.29166001,10948,,
16,453,0.090235357,26,0.005179071,19,0.003784706,100,0,19.91823658,75.47712279,11030,,
17,402,0.080328827,32,0.006394335,20,0.003996459,99.52417331,0.033065204,18.44222023,75.00820247,11112,,
MEAN,419.8333333,0.084518197,30.94444444,0.006229673,21.38888889,0.004302683,99.09186407,0.482935426,20.66794755,72.85311367,,,"T alpha=0.05,n=18"
STD,18.74990196,0.002558374,5.682503821,0.001117793,4.354023006,0.000844468,1.002660995,0.634824216,3.627951147,4.348489484,,,2.1
HALF-WIDTH,9.280727976,0.001266331,2.81269589,0.000553279,2.155131435,0.00041799,0.496291872,0.314221956,1.795744201,2.152392482,,,
Upper,429.1140613,0.085784528,33.75714033,0.006782953,23.54402032,0.004720673,99.58815595,0.797157381,22.46369175,75.00550615,,,
Lower,410.5526054,0.083251867,28.13174855,0.005676394,19.23375745,0.003884693,98.5955722,0.16871347,18.87220335,70.70072118,,,
