Trial,Product1 Tally,Product1 Throughput,Product2 Tally,Product2 Throughput,Product 3 Tally,Product3 Throughput,Utilization I1,Percentage BlockedI1,Utilization I2,PercentageBlockedI2,SEED,
0,221,0.044144278,143,0.028563945,134,0.026766214,99.80384992,0,98.59490776,0.483741165,2037,
1,235,0.046999228,131,0.02619957,119,0.023799609,99.96064286,0,95.665103,2.681516438,2084,
2,184,0.036793281,131,0.026195217,107,0.021396093,100,0,95.98512357,2.266380665,2131,
3,154,0.030773476,143,0.028575371,130,0.02597761,100,0,96.77494584,1.715903314,2178,
4,227,0.045370926,114,0.022785399,127,0.025383734,100,0,98.99667913,0.374440861,2225,
5,212,0.042395475,120,0.023997439,119,0.02379746,100,0,96.79463463,1.972605733,2272,
6,186,0.03716554,138,0.027574433,150,0.029972209,99.88715381,0,94.34612782,3.922217903,2319,
7,181,0.036185142,130,0.025989329,152,0.030387523,100,0,93.45675491,3.636166171,2366,
8,193,0.038525714,124,0.024752273,130,0.025949963,100,0,95.89140685,2.827586445,2413,
MEAN,199.2222222,0.039817007,130.4444444,0.02607033,129.7777778,0.025936713,99.96129407,0,96.27840928,2.208950966,,"T alpha=0.05,n=9"
STD,24.74661718,0.004951101,9.393982839,0.001874373,13.66079368,0.002725425,0.066059531,0,1.685743172,1.165346121,,2.26
HALF-WIDTH,18.64245161,0.003729829,7.076800405,0.001412027,10.29113124,0.002053154,0.049764847,0,1.269926523,0.877894078,,
Upper,217.8646738,0.043546836,137.5212448,0.027482358,140.068909,0.027989866,100,0,97.5483358,3.086845044,,
Lower,180.5797706,0.036087177,123.367644,0.024658303,119.4866465,0.023883559,99.91152922,0,95.00848275,1.331056889,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,419.8333333,0.084518197,30.94444444,0.006229673,21.38888889,0.004302683,99.09186407,0.482935426,20.66794755,72.85311367,,
,Product1 Tally,Product1 Throughput,Product2 Tally,Product2 Throughput,Product 3 Tally,Product3 Throughput,Utilization I1,Percentage BlockedI1,Utilization I2,PercentageBlockedI2,,
% Change in mean,-52.54730713,-52.88942688,321.5439856,318.4863315,506.7532468,502.8032509,0.877397966,-100,365.8343991,-96.96793884,,
