Time,Inspector1Busy,Inspector2Busy,WorkStation1Busy,W1Buffer0,Workstation2Busy,W2Buffer0,W2Buffer1,W3Busy,W3Buffer0,W3Buffer1,Component1Produced,Component2Produced,Component3Produced,,,,
0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
13.23652304,1,1,1,2,0,2,2,0,2,2,0,0,0,,,,For busy states: 1=true
18.21786418,1,1,1,1,0,2,2,0,2,2,0,0,0,,,,0=false
19.03496303,1,1,1,2,0,2,2,0,2,2,1,0,0,,,,For buffers: number represents the number of buffers available (available slot to put component)
21.85240785,1,1,0,2,0,2,2,0,2,2,1,0,0,,,,
26.54674686,1,1,0,2,0,2,2,0,2,1,0,0,0,,,,
29.36898614,1,1,1,2,0,2,2,0,2,1,0,0,0,,,,
29.94795451,1,1,0,2,0,2,2,0,2,1,1,0,0,,,,
32.40972933,1,1,1,2,0,2,2,0,2,1,0,0,0,,,,
34.85239244,1,1,1,1,0,2,2,0,2,1,0,0,0,,,,
36.19332663,1,1,1,2,0,2,2,0,2,1,1,0,0,,,,
39.05301665,1,1,1,1,0,2,2,0,2,1,0,0,0,,,,
39.08697313,1,1,1,2,0,2,2,0,2,1,1,0,0,,,,
42.54754465,1,1,1,1,0,2,2,0,2,1,0,0,0,,,,
44.50744843,1,1,1,1,0,1,2,0,2,1,0,0,0,,,,
46.27042433,1,1,1,1,0,1,2,1,2,2,0,0,0,,,,
46.79421911,1,1,1,2,0,1,2,1,2,2,1,0,0,,,,
50.00199249,1,1,0,2,0,1,2,1,2,2,1,0,0,,,,
53.08680284,1,1,0,2,0,1,2,1,2,1,0,0,0,,,,
53.3546278,1,1,1,2,0,1,2,1,2,1,0,0,0,,,,
56.2716989,1,1,0,2,0,1,2,1,2,1,1,0,0,,,,
57.5757188,1,1,0,2,0,1,2,0,2,1,0,0,1,,,,
57.8570754,1,1,1,2,0,1,2,0,2,1,0,0,0,,,,
58.77382906,1,1,0,2,0,1,2,0,2,1,1,0,0,,,,
65.48824615,1,1,1,2,0,1,2,0,2,1,0,0,0,,,,
69.8020493,1,1,0,2,0,1,2,0,2,1,1,0,0,,,,
92.22551913,1,1,1,2,0,1,2,0,2,1,0,0,0,,,,
99.66229038,1,1,0,2,0,1,2,0,2,1,1,0,0,,,,
105.8068881,1,1,1,2,0,1,2,0,2,1,0,0,0,,,,
106.7080835,1,1,0,2,0,1,2,0,2,1,1,0,0,,,,
109.5731281,1,1,0,2,1,2,2,0,2,1,0,0,0,,,,
112.0760548,1,1,1,2,1,2,2,0,2,1,0,0,0,,,,
114.5403881,1,1,1,1,1,2,2,0,2,1,0,0,0,,,,
116.7807619,1,1,1,2,1,2,2,0,2,1,1,0,0,,,,
122.4162381,1,1,1,1,1,2,2,0,2,1,0,0,0,,,,
122.4569509,1,1,1,2,1,2,2,0,2,1,1,0,0,,,,
123.84885,1,1,1,2,0,2,2,0,2,1,0,1,0,,,,
129.7292516,1,1,1,1,0,2,2,0,2,1,0,0,0,,,,
135.6437984,1,1,1,2,0,2,2,0,2,1,1,0,0,,,,
137.2423328,1,1,1,2,0,2,1,0,2,1,0,0,0,,,,
143.7958038,1,1,0,2,0,2,1,0,2,1,1,0,0,,,,
156.3161001,1,1,1,2,0,2,1,0,2,1,0,0,0,,,,
158.8154205,1,1,0,2,0,2,1,0,2,1,1,0,0,,,,
167.6593763,1,1,1,2,0,2,1,0,2,1,0,0,0,,,,
168.0841221,1,1,0,2,0,2,1,0,2,1,1,0,0,,,,
172.0075831,1,1,1,2,0,2,1,0,2,1,0,0,0,,,,
175.5643803,1,1,1,2,0,2,0,0,2,1,0,0,0,,,,
179.4534271,1,1,1,1,0,2,0,0,2,1,0,0,0,,,,
181.1442114,1,1,1,2,0,2,0,0,2,1,1,0,0,,,,
181.7479728,1,1,0,2,0,2,0,0,2,1,1,0,0,,,,
185.3873438,1,1,1,2,0,2,0,0,2,1,0,0,0,,,,
188.5249894,1,1,1,1,0,2,0,0,2,1,0,0,0,,,,
193.6907689,1,1,1,1,0,2,0,0,2,0,0,0,0,,,,
196.7805054,1,1,1,2,0,2,0,0,2,0,1,0,0,,,,
198.3285367,1,1,0,2,0,2,0,0,2,0,1,0,0,,,,
225.8790211,1,1,1,2,0,2,0,0,2,0,0,0,0,,,,
229.1964253,1,1,1,1,0,2,0,0,2,0,0,0,0,,,,
231.2481172,1,0,1,1,0,2,0,0,2,0,0,0,0,,,,
237.9468142,1,0,1,2,0,2,0,0,2,0,1,0,0,,,,
239.8999604,1,0,0,2,0,2,0,0,2,0,1,0,0,,,,
242.1907087,1,0,1,2,0,2,0,0,2,0,0,0,0,,,,
242.6598635,1,0,0,2,0,2,0,0,2,0,1,0,0,,,,
270.9677379,1,0,1,2,0,2,0,0,2,0,0,0,0,,,,
273.9412133,1,0,0,2,0,2,0,0,2,0,1,0,0,,,,
279.287154,1,0,1,2,0,2,0,0,2,0,0,0,0,,,,
279.3733417,1,0,0,2,0,2,0,0,2,0,1,0,0,,,,
280.6246177,1,0,1,2,0,2,0,0,2,0,0,0,0,,,,
281.7813627,1,0,0,2,0,2,0,0,2,0,1,0,0,,,,
317.3136803,1,0,1,2,0,2,0,0,2,0,0,0,0,,,,
319.5450834,1,0,1,1,0,2,0,0,2,0,0,0,0,,,,
322.7436529,1,0,1,2,0,2,0,0,2,0,1,0,0,,,,
324.0062065,1,0,1,1,0,2,0,0,2,0,0,0,0,,,,
324.5404872,1,0,1,1,1,2,1,0,2,0,0,0,0,,,,
326.7318654,1,0,1,2,1,2,1,0,2,0,1,0,0,,,,
328.1627569,1,0,0,2,1,2,1,0,2,0,1,0,0,,,,
335.7063944,1,0,0,2,0,2,1,0,2,0,0,1,0,,,,
364.2344097,1,0,1,2,0,2,1,0,2,0,0,0,0,,,,
368.648927,1,0,1,1,0,2,1,0,2,0,0,0,0,,,,
371.1719618,1,0,1,2,0,2,1,0,2,0,1,0,0,,,,
377.9109565,1,0,0,2,0,2,1,0,2,0,1,0,0,,,,
378.7097923,1,0,1,2,0,2,1,0,2,0,0,0,0,,,,
382.1435077,1,0,0,2,0,2,1,0,2,0,1,0,0,,,,
382.8285433,1,0,1,2,0,2,1,0,2,0,0,0,0,,,,
384.0678313,1,0,0,2,0,2,1,0,2,0,1,0,0,,,,
386.5845852,1,0,1,2,0,2,1,0,2,0,0,0,0,,,,
388.788117,1,0,1,1,0,2,1,0,2,0,0,0,0,,,,
391.6409933,1,0,1,1,1,2,2,0,2,0,0,0,0,,,,
393.6789372,1,0,1,1,1,1,2,0,2,0,0,0,0,,,,
393.9616048,1,0,1,2,1,1,2,0,2,0,1,0,0,,,,
396.6847649,1,0,0,2,1,1,2,0,2,0,1,0,0,,,,
397.1775005,1,0,1,2,1,1,2,0,2,0,0,0,0,,,,
398.599154,1,1,1,2,1,1,2,1,2,1,0,0,0,,,,
398.8811178,1,1,0,2,1,1,2,1,2,1,1,0,0,,,,
402.6260951,1,1,1,2,1,1,2,1,2,1,0,0,0,,,,
402.9646754,1,1,1,2,1,1,1,1,2,1,0,0,0,,,,
404.3892238,1,1,1,2,1,1,1,0,2,1,0,0,1,,,,
404.6652017,1,1,1,2,1,2,2,0,2,1,0,1,0,,,,
407.8634753,1,1,0,2,1,2,2,0,2,1,1,0,0,,,,
409.4532662,1,1,0,2,0,2,2,0,2,1,0,1,0,,,,
410.4011677,1,1,1,2,0,2,2,0,2,1,0,0,0,,,,
411.5934102,1,1,1,2,0,2,2,0,2,0,0,0,0,,,,
417.7076403,1,1,0,2,0,2,2,0,2,0,1,0,0,,,,
421.7308324,1,0,0,2,0,2,2,0,2,0,0,0,0,,,,
426.9371048,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
432.7949427,1,0,1,1,0,2,2,0,2,0,0,0,0,,,,
436.7750385,1,0,1,2,0,2,2,0,2,0,1,0,0,,,,
440.1161631,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
441.3781103,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
442.6388718,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
450.2665505,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
451.3136645,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
462.6185935,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
465.3333282,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
471.3753764,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
473.0339515,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
478.3695424,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
482.526098,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
503.8639135,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
505.6320581,1,0,1,1,0,2,2,0,2,0,0,0,0,,,,
507.84306,1,0,1,2,0,2,2,0,2,0,1,0,0,,,,
510.0407169,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
510.7370842,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
512.0244833,1,0,0,2,0,2,2,0,2,0,1,0,0,,,,
512.2131983,1,0,1,2,0,2,2,0,2,0,0,0,0,,,,
512.3956907,1,0,1,1,0,2,2,0,2,0,0,0,0,,,,
525.236906,1,0,1,1,0,1,2,0,2,0,0,0,0,,,,
526.4430712,1,0,1,2,0,1,2,0,2,0,1,0,0,,,,
533.1542727,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
534.7876518,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
557.0667142,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
558.2494962,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
559.2578937,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
562.1549573,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
591.1409838,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
604.0506149,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
606.7738772,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
614.1957181,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
615.082013,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
621.2128113,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
625.4885812,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
625.8944098,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
628.3396757,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
631.0343262,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
642.7127537,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
646.822493,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
655.2106441,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
656.3341266,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
659.9057524,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
661.9574347,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
682.382444,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
683.7419685,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
694.2888738,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
695.9924108,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
701.4244872,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
713.1047781,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
713.7315143,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
714.9766114,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
716.5481333,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
716.9209933,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
718.0723315,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
721.8254676,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
723.2268357,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
725.114431,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
727.8472662,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
735.1252482,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
735.860378,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
748.7905322,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
750.1102822,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
751.7367326,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
753.9975289,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
754.1332456,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
756.9932016,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
759.1302847,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
761.8398687,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
770.6844454,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
776.6507919,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
778.4772736,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
788.4851058,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
790.2362284,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
803.782317,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
805.8486411,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
823.3334905,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
825.914746,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
827.6688578,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
829.3346728,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
852.8230181,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
857.4056093,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
861.1311822,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
861.3790213,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
864.6872777,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
867.6877481,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
868.3646291,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
877.7860928,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
878.3337335,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
878.9167884,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
879.1447538,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
892.4830575,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
901.9639892,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
918.4965528,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
922.6548563,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
922.7116272,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
929.611633,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
935.119601,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
936.1914992,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
945.2425003,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
954.9596619,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
959.3377379,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
962.2705777,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
967.6798812,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
969.8360795,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
980.7198968,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
981.2220629,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
986.8605611,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
990.6055144,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
992.0013192,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
994.082373,1,0,1,2,0,0,2,0,2,0,0,0,0,,,,
999.6714121,1,0,0,2,0,0,2,0,2,0,1,0,0,,,,
